response_id	grna_group
CDKN2B	sgRNA_21883622.21884011
CDKN2B	sgRNA_21889623.21890192
CDKN2B	sgRNA_21902048.21902508
CDKN2B	sgRNA_21903297.21903761
CDKN2B	sgRNA_21904489.21904691
CDKN2B	sgRNA_21904827.21905164
CDKN2B	sgRNA_21906895.21907254
CDKN2B	sgRNA_21919590.21919906
CDKN2B	sgRNA_21931517.21931760
CDKN2B	sgRNA_21933887.21934239
CDKN2B	sgRNA_21936083.21936630
CDKN2B	sgRNA_21949048.21949358
CDKN2B	sgRNA_21949747.21950002
CDKN2B	sgRNA_21950432.21950893
CDKN2B	sgRNA_21952893.21953162
CDKN2B	sgRNA_21955669.21956088
CDKN2B	sgRNA_21959853.21960015
CDKN2B	sgRNA_21961653.21961902
CDKN2B	sgRNA_21964186.21964500
CDKN2B	sgRNA_21964910.21965507
CDKN2B	sgRNA_21965574.21965827
CDKN2B	sgRNA_21967673.21968059
CDKN2B	sgRNA_21968332.21968667
CDKN2B	sgRNA_21970423.21970667
CDKN2B	sgRNA_21970669.21971071
CDKN2B	sgRNA_21971240.21971874
CDKN2B	sgRNA_21973546.21973929
CDKN2B	sgRNA_21974016.21974250
CDKN2B	sgRNA_21974382.21974628
CDKN2B	sgRNA_21974644.21975049
CDKN2B	sgRNA_21975050.21975381
CDKN2B	sgRNA_21975473.21975815
CDKN2B	sgRNA_21975838.21975990
CDKN2B	sgRNA_21976337.21976594
CDKN2B	sgRNA_21982447.21983001
CDKN2B	sgRNA_21983545.21983947
CDKN2B	sgRNA_21984590.21984842
CDKN2B	sgRNA_21986846.21987062
CDKN2B	sgRNA_21987490.21987738
CDKN2B	sgRNA_21988344.21989004
CDKN2B	sgRNA_21989448.21989770
CDKN2B	sgRNA_21989846.21990150
CDKN2B	sgRNA_21990239.21990463
CDKN2B	sgRNA_21991610.21991964
CDKN2B	sgRNA_21993497.21993792
CDKN2B	sgRNA_21993910.21994234
CDKN2B	sgRNA_21994286.21994909
CDKN2B	sgRNA_21994938.21995219
CDKN2B	sgRNA_21995566.21996214
CDKN2B	sgRNA_21996463.21997024
CDKN2B	sgRNA_21997856.21998917
CDKN2B	sgRNA_21999779.22000849
CDKN2B	sgRNA_22002098.22002371
CDKN2B	sgRNA_22003089.22003510
CDKN2B	sgRNA_22004994.22006412
CDKN2B	sgRNA_22007045.22007577
CDKN2B	sgRNA_22008685.22010033
CDKN2B	sgRNA_22010987.22011368
CDKN2B	sgRNA_22011678.22011875
CDKN2B	sgRNA_22012420.22012801
CDKN2B	sgRNA_22013364.22014150
CDKN2B	sgRNA_22017094.22017559
CDKN2B	sgRNA_22018778.22019211
CDKN2B	sgRNA_22024399.22024900
CDKN2B	sgRNA_22024935.22025519
CDKN2B	sgRNA_22026676.22027216
CDKN2B	sgRNA_22030026.22030603
CDKN2B	sgRNA_22031727.22032006
CDKN2B	sgRNA_22032041.22032331
CDKN2B	sgRNA_22032980.22033516
CDKN2B	sgRNA_22035585.22035946
CDKN2B	sgRNA_22037288.22037595
CDKN2B	sgRNA_22037947.22038388
CDKN2B	sgRNA_22039302.22039598
CDKN2B	sgRNA_22040763.22041162
CDKN2B	sgRNA_22041786.22042153
CDKN2B	sgRNA_22043926.22044126
CDKN2B	sgRNA_22044591.22044945
CDKN2B	sgRNA_22049453.22049789
CDKN2B	sgRNA_22050387.22050900
CDKN2B	sgRNA_22052069.22053048
CDKN2B	sgRNA_22053682.22054045
CDKN2B	sgRNA_22054180.22054370
CDKN2B	sgRNA_22054599.22054753
CDKN2B	sgRNA_22055098.22055526
CDKN2B	sgRNA_22056244.22056527
CDKN2B	sgRNA_22059886.22060152
CDKN2B	sgRNA_22062048.22062204
CDKN2B	sgRNA_22064992.22065795
CDKN2B	sgRNA_22066070.22068679
CDKN2B	sgRNA_22075783.22076079
CDKN2B	sgRNA_22078077.22078428
CDKN2B	sgRNA_22078478.22078659
CDKN2B	sgRNA_22079897.22080362
CDKN2B	sgRNA_22083329.22083491
CDKN2B	sgRNA_22084660.22085153
CDKN2B	sgRNA_22088687.22089037
CDKN2B	sgRNA_22097733.22098066
CDKN2B	sgRNA_22098665.22099204
CDKN2B	sgRNA_22100742.22100978
CDKN2B	sgRNA_22102660.22103014
CDKN2B	sgRNA_22103197.22103638
CDKN2B	sgRNA_22107196.22107619
CDKN2B	sgRNA_22107679.22107951
CDKN2B	sgRNA_22108542.22108924
CDKN2B	sgRNA_22109107.22109299
