DISEASE/TRAIT	chr	position	STRONGEST SNP-RISK ALLELE	rs_id	pval	PVALUE_MLOG	OR or BETA	95% CI (TEXT)	MAPPED_TRAIT	STUDY ACCESSION	trait_id	trait_category	pip	cs_id
Glioblastoma	chr9	22066213	rs145929329-ATT	rs145929329	5e-12	11.301029995663981	1.35	[1.24-1.47]	glioblastoma multiforme	GCST003220	Glioma	Glioma	0.565051499783199	1
Non-glioblastoma glioma	chr9	22033367	rs2157719-C	rs2157719	2e-11	10.698970004336019	1.27	[1.19-1.36]	central nervous system cancer	GCST003227	Glioma	Glioma	0.534948500216801	1
Glioma	chr9	22033367	rs2157719-C	rs2157719	3e-17	16.522878745280337	1.28	[1.21-1.35]	central nervous system cancer	GCST003228	Glioma	Glioma	0.8261439372640169	1
Chronic lymphocytic leukemia	chr9	22206988	rs1679013-C	rs1679013	1e-08	8.0	1.19	[1.12-1.27]	chronic lymphocytic leukemia	GCST002073	Leukemia	Leukemia	0.4	1
Basal cell carcinoma	chr9	22034720	rs2151280-G	rs2151280	3e-10	9.522878745280337	1.2	[1.14-1.27]	basal cell carcinoma	GCST002331	Keratinocyte Carcinoma	Keratinocyte Carcinoma	0.4761439372640169	1
Basal cell carcinoma	chr9	22034720	rs2151280-G	rs2151280	9e-11	10.045757490560675	1.19	[NR]	basal cell carcinoma	GCST002842	Keratinocyte Carcinoma	Keratinocyte Carcinoma	0.5022878745280337	1
Acute lymphoblastic leukemia (B-cell precursor)	chr9	21984662	rs3731217-?	rs3731217	2e-08	7.698970004336019			B-cell acute lymphoblastic leukemia	GCST002158	Leukemia	Leukemia	0.38494850021680094	1
Glioma	chr9	22068653	rs4977756-G	rs4977756	1e-08	8.0	1.283	[1.177-1.398]	glioma	GCST001633	Glioma	Glioma	0.4	1
Glioma (high-grade)	chr9	22043927	rs1412829-C	rs1412829	2e-10	9.698970004336019	1.42	[1.27-1.58]	central nervous system cancer	GCST000440	Glioma	Glioma	0.4849485002168009	1
Breast cancer	chr9	22062135	rs1011970-T	rs1011970	3e-08	7.522878745280337	1.09	[1.04-1.14]	breast carcinoma	GCST000678	Breast Cancer	Breast Cancer	0.37614393726401685	1
Glioma	chr9	22068653	rs4977756-G	rs4977756	7e-15	14.154901959985743	1.24	[1.19-1.30]	central nervous system cancer	GCST000439	Glioma	Glioma	0.7077450979992872	1
Melanoma	chr9	21816529	rs7023329-?	rs7023329	7e-09	8.154901959985743	1.2	[1.14-1.28]	melanoma	GCST001267	Melanoma	Melanoma	0.40774509799928715	1
Glioma	chr9	22033367	rs2157719-?	rs2157719	5e-16	15.301029995663981	1.26	[NR]	central nervous system cancer	GCST001058	Glioma	Glioma	0.7650514997831991	1
Prostate cancer	chr9	22041999	rs17694493-G	rs17694493	4e-08	7.3979400086720375	1.1	[1.06-1.13]	prostate carcinoma	GCST002606	Prostate Cancer	Prostate Cancer	0.36989700043360185	1
Basal cell carcinoma	chr9	22054691	rs7874604-T	rs7874604	5e-13	12.301029995663981	1.1	[NR]	basal cell carcinoma	GCST003726	Keratinocyte Carcinoma	Keratinocyte Carcinoma	0.6150514997831991	1
Breast cancer	chr9	22062135	rs1011970-T	rs1011970	4e-09	8.397940008672037	1.06	[1.03-1.08]	breast carcinoma	GCST004950	Breast Cancer	Breast Cancer	0.4198970004336019	1
Colorectal cancer or advanced adenoma	chr9	22103184	rs1537372-G	rs1537372	1e-08	8.0	1.05	[1.03-1.07]	colorectal cancer, colorectal adenoma	GCST007856	Pan-cancer	Pan-cancer	0.4	1
Nevus count or cutaneous melanoma	chr9	21844773	rs11532907-?	rs11532907	2e-34	33.69897000433602			nevus count, cutaneous melanoma	GCST007505	Melanoma	Melanoma	1.0	1
Nevus count or cutaneous melanoma	chr9	21804694	rs869329-?	rs869329	7e-67	66.15490195998575			nevus count, cutaneous melanoma	GCST007505	Melanoma	Melanoma	1.0	1
Prostate cancer	chr9	22041999	rs17694493-G	rs17694493	1e-12	12.0	1.074	[1.05-1.09]	prostate carcinoma	GCST011049	Prostate Cancer	Prostate Cancer	0.6	1
Melanoma	chr9	21803881	rs871024-C	rs871024	6e-29	28.221848749616356	1.2163	NR	melanoma	GCST90011809	Melanoma	Melanoma	1.0	1
Melanoma	chr9	21995045	rs55797833-T	rs55797833	7e-12	11.154901959985743	1.7143	NR	melanoma	GCST90011809	Melanoma	Melanoma	0.5577450979992872	1
Acute lymphoblastic leukemia in childhood (B cell precursor)	chr9	21970917	rs3731249-?	rs3731249	1e-27	27.0	2.65	[2.22-3.17]	B-cell acute lymphoblastic leukemia	GCST005832	Leukemia	Leukemia	1.0	1
Acute lymphoblastic leukemia in childhood (B cell precursor)	chr9	21984662	rs3731217-?	rs3731217	7e-14	13.154901959985743	1.4285715	[0.64-0.77]	B-cell acute lymphoblastic leukemia	GCST005832	Leukemia	Leukemia	0.6577450979992872	1
Endometrial cancer	chr9	22207038	rs1679014-T	rs1679014	6e-09	8.221848749616356	1.18	[1.12-1.25]	endometrial carcinoma	GCST006464	Endometrial Cancer	Endometrial Cancer	0.4110924374808178	1
Glioblastoma (age-stratified)	chr9	22032153	rs634537-G	rs634537	3e-15	14.522878745280337	1.38	[1.27-1.49]	age at onset, glioblastoma multiforme	GCST006480	Glioma	Glioma	0.7261439372640168	1
